TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,CONF_COUNT,DIV_COUNT,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK
1610612737,Atlanta,Hawks,2014-15,82,60,22,0.732,1,1,8,8,15.0,5,N/A,38.1,81.7,0.466,10.0,26.2,0.38,16.5,21.2,0.778,8.7,31.8,40.6,25.7,17.8,9.1,14.2,4.6,102.5,10
1610612737,Atlanta,Hawks,2015-16,82,48,34,0.585,4,2,4,6,15.0,5,N/A,38.6,84.4,0.458,9.9,28.4,0.35,15.6,20.0,0.783,8.3,33.8,42.1,25.6,19.1,9.1,15.0,5.9,102.8,12
1610612737,Atlanta,Hawks,2016-17,82,43,39,0.524,5,2,2,4,15.0,5,N/A,38.1,84.4,0.451,8.9,26.1,0.341,18.1,24.9,0.728,10.3,34.1,44.3,23.6,18.2,8.2,15.8,4.8,103.2,22
1610612737,Atlanta,Hawks,2017-18,82,24,58,0.293,15,5,0,0,15.0,5,N/A,38.2,85.5,0.446,11.2,31.0,0.36,15.8,20.2,0.785,9.1,32.8,41.9,23.7,19.6,7.8,15.5,4.2,103.4,25
1610612737,Atlanta,Hawks,2018-19,82,29,53,0.354,12,5,0,0,15.0,5,N/A,41.4,91.8,0.451,13.0,37.0,0.352,17.6,23.4,0.752,11.6,34.5,46.1,25.8,23.6,8.2,17.0,5.1,113.3,12
